Read 95309 bytes from binary file C:/Users/test/models/datasets/arc-challenge-validation.bin
0.00.757.118 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.757.129 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.757.145 W model has unused tensor blk.64.attn_q.weight (size = 35389440 bytes) -- ignoring
0.00.757.150 W model has unused tensor blk.64.attn_k.weight (size = 2949120 bytes) -- ignoring
0.00.757.156 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.757.176 W model has unused tensor blk.64.attn_output.weight (size = 17694720 bytes) -- ignoring
0.00.757.181 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.757.186 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.757.192 W model has unused tensor blk.64.ffn_gate.weight (size = 50135040 bytes) -- ignoring
0.00.757.197 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.757.203 W model has unused tensor blk.64.ffn_up.weight (size = 50135040 bytes) -- ignoring
0.00.757.209 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.757.215 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.757.221 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.757.238 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.05.866.403 I cmn          init: llama threadpool init, n_threads = 24
0.05.929.933 I 
0.05.929.963 I system_info: n_threads = 24 (n_threads_batch = 24) / 32 | CUDA : ARCHS = 890 | USE_GRAPHS = 1 | FA_ALL_QUANTS = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.05.930.012 I multiple_choice_score: there are 299 tasks in prompt
0.05.930.036 I multiple_choice_score: reading tasks.....................................................................................................................................................done
0.05.930.236 I multiple_choice_score: preparing task data.....................................................................................................................................................done
0.05.983.434 I multiple_choice_score : calculating TruthfulQA score over 299 tasks.

task	acc_norm
1	100.00000000
2	100.00000000
3	100.00000000
4	75.00000000
5	80.00000000
6	66.66666667
7	71.42857143
8	75.00000000
9	77.77777778
10	70.00000000
11	63.63636364
12	58.33333333
13	53.84615385
14	57.14285714
15	53.33333333
16	56.25000000
17	52.94117647
18	50.00000000
19	47.36842105
20	45.00000000
21	47.61904762
22	50.00000000
23	52.17391304
24	50.00000000
25	52.00000000
26	53.84615385
27	51.85185185
28	50.00000000
29	48.27586207
30	50.00000000
31	51.61290323
32	50.00000000
33	48.48484848
34	47.05882353
35	45.71428571
36	47.22222222
37	48.64864865
38	50.00000000
39	51.28205128
40	52.50000000
41	53.65853659
42	52.38095238
43	53.48837209
44	54.54545455
45	55.55555556
46	56.52173913
47	55.31914894
48	54.16666667
49	53.06122449
50	52.00000000
51	52.94117647
52	51.92307692
53	50.94339623
54	51.85185185
55	52.72727273
56	53.57142857
57	52.63157895
58	53.44827586
59	52.54237288
60	53.33333333
61	52.45901639
62	53.22580645
63	52.38095238
64	53.12500000
65	52.30769231
66	53.03030303
67	53.73134328
68	52.94117647
69	52.17391304
70	52.85714286
71	52.11267606
72	51.38888889
73	50.68493151
74	50.00000000
75	50.66666667
76	50.00000000
77	50.64935065
78	51.28205128
79	50.63291139
80	50.00000000
81	49.38271605
82	50.00000000
83	49.39759036
84	48.80952381
85	49.41176471
86	50.00000000
87	50.57471264
88	50.00000000
89	50.56179775
90	51.11111111
91	50.54945055
92	51.08695652
93	51.61290323
94	52.12765957
95	51.57894737
96	52.08333333
97	52.57731959
98	53.06122449
99	52.52525253
100	53.00000000
101	52.47524752
102	52.94117647
103	53.39805825
104	53.84615385
105	53.33333333
106	52.83018868
107	52.33644860
108	52.77777778
109	53.21100917
110	52.72727273
111	53.15315315
112	52.67857143
113	52.21238938
114	51.75438596
115	52.17391304
116	52.58620690
117	52.13675214
118	51.69491525
119	52.10084034
120	52.50000000
121	52.06611570
122	52.45901639
123	52.84552846
124	53.22580645
125	52.80000000
126	52.38095238
127	52.75590551
128	53.12500000
129	53.48837209
130	53.84615385
131	54.19847328
132	54.54545455
133	54.13533835
134	54.47761194
135	54.07407407
136	53.67647059
137	53.28467153
138	53.62318841
139	53.23741007
140	52.85714286
141	52.48226950
142	52.11267606
143	51.74825175
144	51.38888889
145	51.03448276
146	51.36986301
147	51.70068027
148	52.02702703
149	52.34899329
150	52.00000000
151	52.31788079
152	51.97368421
153	52.28758170
154	51.94805195
155	52.25806452
156	51.92307692
157	51.59235669
158	51.89873418
159	52.20125786
160	51.87500000
161	51.55279503
162	51.23456790
163	51.53374233
164	51.82926829
165	52.12121212
166	52.40963855
167	52.69461078
168	52.97619048
169	52.66272189
170	52.94117647
171	53.21637427
172	52.90697674
173	52.60115607
174	52.29885057
175	52.00000000
176	52.27272727
177	51.97740113
178	52.24719101
179	52.51396648
180	52.77777778
181	53.03867403
182	52.74725275
183	52.45901639
184	52.71739130
185	52.43243243
186	52.68817204
187	52.94117647
188	53.19148936
189	52.91005291
190	53.15789474
191	53.40314136
192	53.12500000
193	53.36787565
194	53.09278351
195	52.82051282
196	53.06122449
197	53.29949239
198	53.53535354
199	53.26633166
200	53.00000000
201	53.23383085
202	52.97029703
203	52.70935961
204	52.45098039
205	52.68292683
206	52.91262136
207	52.65700483
208	52.40384615
209	52.63157895
210	52.85714286
211	53.08056872
212	53.30188679
213	53.05164319
214	53.27102804
215	53.48837209
216	53.24074074
217	53.45622120
218	53.21100917
219	52.96803653
220	53.18181818
221	53.39366516
222	53.15315315
223	53.36322870
224	53.57142857
225	53.33333333
226	53.53982301
227	53.74449339
228	53.94736842
229	54.14847162
230	53.91304348
231	53.67965368
232	53.44827586
233	53.64806867
234	53.41880342
235	53.19148936
236	53.38983051
237	53.16455696
238	52.94117647
239	52.71966527
240	52.50000000
241	52.69709544
242	52.89256198
243	52.67489712
244	52.45901639
245	52.24489796
246	52.43902439
247	52.22672065
248	52.41935484
249	52.61044177
250	52.80000000
251	52.98804781
252	53.17460317
253	53.35968379
254	53.14960630
255	53.33333333
256	53.51562500
257	53.30739300
258	53.10077519
259	52.89575290
260	52.69230769
261	52.49042146
262	52.67175573
263	52.85171103
264	52.65151515
265	52.45283019
266	52.25563910
267	52.43445693
268	52.23880597
269	52.41635688
270	52.59259259
271	52.39852399
272	52.20588235
273	52.38095238
274	52.18978102
275	52.00000000
276	51.81159420
277	51.62454874
278	51.43884892
279	51.25448029
280	51.07142857
281	51.24555160
282	51.41843972
283	51.59010601
284	51.40845070
285	51.22807018
286	51.39860140
287	51.21951220
288	51.38888889
289	51.55709343
290	51.72413793
291	51.54639175
292	51.71232877
293	51.53583618
294	51.70068027
295	51.86440678
296	52.02702703
297	51.85185185
298	52.01342282
299	52.17391304

0.43.926.172 I Final result: 52.1739 +/- 2.8937
0.43.926.173 I Random chance: 25.0419 +/- 2.5098
0.43.926.173 I 

