Read 95309 bytes from binary file C:/Users/test/models/datasets/arc-challenge-validation.bin
0.00.768.541 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.768.552 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.768.567 W model has unused tensor blk.64.attn_q.weight (size = 35389440 bytes) -- ignoring
0.00.768.573 W model has unused tensor blk.64.attn_k.weight (size = 2949120 bytes) -- ignoring
0.00.768.578 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.768.598 W model has unused tensor blk.64.attn_output.weight (size = 17694720 bytes) -- ignoring
0.00.768.604 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.768.609 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.768.615 W model has unused tensor blk.64.ffn_gate.weight (size = 50135040 bytes) -- ignoring
0.00.768.620 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.768.625 W model has unused tensor blk.64.ffn_up.weight (size = 50135040 bytes) -- ignoring
0.00.768.632 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.768.638 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.768.643 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.768.661 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.05.878.319 I cmn          init: llama threadpool init, n_threads = 24
0.05.942.287 I 
0.05.942.315 I system_info: n_threads = 24 (n_threads_batch = 24) / 32 | CUDA : ARCHS = 890 | USE_GRAPHS = 1 | FA_ALL_QUANTS = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.05.942.367 I multiple_choice_score: there are 299 tasks in prompt
0.05.942.390 I multiple_choice_score: reading tasks.....................................................................................................................................................done
0.05.942.572 I multiple_choice_score: preparing task data.....................................................................................................................................................done
0.05.993.299 I multiple_choice_score : calculating TruthfulQA score over 299 tasks.

task	acc_norm
1	100.00000000
2	100.00000000
3	100.00000000
4	75.00000000
5	80.00000000
6	66.66666667
7	71.42857143
8	75.00000000
9	77.77777778
10	70.00000000
11	63.63636364
12	58.33333333
13	53.84615385
14	57.14285714
15	53.33333333
16	56.25000000
17	52.94117647
18	50.00000000
19	47.36842105
20	45.00000000
21	47.61904762
22	50.00000000
23	52.17391304
24	50.00000000
25	52.00000000
26	53.84615385
27	51.85185185
28	50.00000000
29	48.27586207
30	50.00000000
31	51.61290323
32	50.00000000
33	48.48484848
34	47.05882353
35	45.71428571
36	47.22222222
37	48.64864865
38	50.00000000
39	51.28205128
40	52.50000000
41	53.65853659
42	52.38095238
43	53.48837209
44	54.54545455
45	55.55555556
46	56.52173913
47	55.31914894
48	54.16666667
49	53.06122449
50	52.00000000
51	52.94117647
52	51.92307692
53	50.94339623
54	51.85185185
55	52.72727273
56	53.57142857
57	52.63157895
58	53.44827586
59	52.54237288
60	53.33333333
61	52.45901639
62	53.22580645
63	52.38095238
64	53.12500000
65	53.84615385
66	54.54545455
67	55.22388060
68	54.41176471
69	53.62318841
70	54.28571429
71	53.52112676
72	52.77777778
73	52.05479452
74	51.35135135
75	52.00000000
76	51.31578947
77	51.94805195
78	52.56410256
79	51.89873418
80	51.25000000
81	50.61728395
82	51.21951220
83	50.60240964
84	50.00000000
85	50.58823529
86	51.16279070
87	51.72413793
88	51.13636364
89	51.68539326
90	52.22222222
91	51.64835165
92	52.17391304
93	52.68817204
94	53.19148936
95	52.63157895
96	53.12500000
97	53.60824742
98	54.08163265
99	53.53535354
100	54.00000000
101	53.46534653
102	53.92156863
103	54.36893204
104	54.80769231
105	54.28571429
106	53.77358491
107	53.27102804
108	53.70370370
109	54.12844037
110	53.63636364
111	54.05405405
112	53.57142857
113	53.09734513
114	52.63157895
115	53.04347826
116	53.44827586
117	52.99145299
118	52.54237288
119	52.94117647
120	53.33333333
121	52.89256198
122	53.27868852
123	53.65853659
124	54.03225806
125	53.60000000
126	53.17460317
127	53.54330709
128	53.90625000
129	54.26356589
130	54.61538462
131	54.19847328
132	54.54545455
133	54.88721805
134	55.22388060
135	54.81481481
136	54.41176471
137	54.01459854
138	54.34782609
139	53.95683453
140	53.57142857
141	53.19148936
142	52.81690141
143	52.44755245
144	52.08333333
145	51.72413793
146	52.05479452
147	52.38095238
148	52.70270270
149	53.02013423
150	52.66666667
151	52.98013245
152	52.63157895
153	52.94117647
154	52.59740260
155	52.90322581
156	52.56410256
157	52.22929936
158	52.53164557
159	52.83018868
160	52.50000000
161	52.17391304
162	51.85185185
163	52.14723926
164	52.43902439
165	52.72727273
166	53.01204819
167	53.29341317
168	53.57142857
169	53.25443787
170	53.52941176
171	53.80116959
172	53.48837209
173	53.17919075
174	52.87356322
175	52.57142857
176	52.84090909
177	52.54237288
178	52.80898876
179	53.07262570
180	53.33333333
181	53.59116022
182	53.29670330
183	53.00546448
184	53.26086957
185	52.97297297
186	53.22580645
187	53.47593583
188	53.72340426
189	53.43915344
190	53.68421053
191	53.92670157
192	53.64583333
193	53.88601036
194	53.60824742
195	53.33333333
196	53.57142857
197	53.80710660
198	54.04040404
199	53.76884422
200	53.50000000
201	53.73134328
202	53.46534653
203	53.20197044
204	52.94117647
205	53.17073171
206	53.39805825
207	53.14009662
208	52.88461538
209	53.11004785
210	53.33333333
211	53.55450237
212	53.77358491
213	53.52112676
214	53.27102804
215	53.48837209
216	53.24074074
217	53.45622120
218	53.21100917
219	53.42465753
220	53.63636364
221	53.84615385
222	53.60360360
223	53.81165919
224	54.01785714
225	53.77777778
226	53.98230088
227	54.18502203
228	53.94736842
229	54.14847162
230	53.91304348
231	53.67965368
232	53.44827586
233	53.64806867
234	53.41880342
235	53.19148936
236	53.38983051
237	53.16455696
238	52.94117647
239	52.71966527
240	52.50000000
241	52.69709544
242	52.89256198
243	52.67489712
244	52.45901639
245	52.24489796
246	52.43902439
247	52.22672065
248	52.41935484
249	52.61044177
250	52.80000000
251	52.98804781
252	53.17460317
253	53.35968379
254	53.14960630
255	53.33333333
256	53.51562500
257	53.30739300
258	53.10077519
259	52.89575290
260	52.69230769
261	52.49042146
262	52.67175573
263	52.85171103
264	52.65151515
265	52.45283019
266	52.25563910
267	52.43445693
268	52.23880597
269	52.41635688
270	52.59259259
271	52.39852399
272	52.20588235
273	52.38095238
274	52.18978102
275	52.00000000
276	51.81159420
277	51.62454874
278	51.43884892
279	51.25448029
280	51.07142857
281	51.24555160
282	51.41843972
283	51.59010601
284	51.40845070
285	51.22807018
286	51.39860140
287	51.21951220
288	51.38888889
289	51.55709343
290	51.72413793
291	51.54639175
292	51.71232877
293	51.53583618
294	51.70068027
295	51.52542373
296	51.68918919
297	51.51515152
298	51.67785235
299	51.83946488

0.43.840.912 I Final result: 51.8395 +/- 2.8945
0.43.840.913 I Random chance: 25.0419 +/- 2.5098
0.43.840.913 I 

